# RYA branch cleanup 2026-08-27T18:43:47Z — every branch below was an ANCESTOR of origin/main
# (its commits are IN main), not checked out in any worktree, and untouched for >3 days.
# Recover any of them with:  git branch <name> <sha>  &&  git push origin <name>
branch,sha,last_commit_date,subject
fix/rya-256-caticr-nlte-unit-check,6c52c64b8744b7582f75eb0ee5904ddf0a9efad3,2026-06-12,"docs(rya-256): verify Ca/Ti/Cr NLTE unit convention — no fix needed"
fix/rya-267-nlte-gate-double-add,2e196da4777303fd5ef304e2aa9085be588e24fb,2026-06-12,"fix(rya-267): stop double-adding _A_FE_SOLAR when NLTE unavailable"
fix/rya-268-procyon-fe2-blend-flags,a097fecf2b719f70f3df998d264576a3c421ce1b,2026-06-12,"fix(rya-268): flag Procyon Fe II 6229/6491 Å as physically implausible"
inference_upgrade,a3a7fd0d2d080afcf9a1404673d44b9096ae47aa,2026-06-04,"feat: implement abundances_derive.py — iSpec + Turbospectrum EW abunda"
rya-1024-quarantine-holding-aware,1817a472dfc2a66cc2b20bceaa8acc446ab978a7,2026-08-23,"Merge remote-tracking branch 'origin/main' into rya-1024-quarantine-ho"
rya-454-onto-main,219de802c41364a5d1212a3f60ea8502e2301c83,2026-06-26,"RYA-454: per-window robust-local continuum proof (RYA-453 Path A) — ST"
rya-776-engine-coverage,a87b779aa9a18f0aa7241c5b88c07a2bd829935f,2026-08-11,"RYA-776: register v56 + SEQUENCE — the state change this PR makes"
rya-776-refresh-post-773,f56f6cac2325d51b63491f92c0889bc33b1f1d78,2026-08-11,"RYA-776/773: refresh engine_coverage after 773 extended the Al grid"
ryandamienschmitt/repoint-spectra-local-to-sirius,3ca4a84aaeb3df405d20d65552526b7a4265a414,2026-08-16,"Repoint data.spectra_local at Sirius — the Mac copy no longer exists"
ryandamienschmitt/rya-1001-al-phase-0-full-band-line-census-uvvisir-on-sirius-gradeable,e67a5d35474086934f312cf4e6b5719a2bcd65ea,2026-08-22,"[RYA-1001] widen the RYA-686 frozen HAND_AUTHORED set, deliberately"
ryandamienschmitt/rya-1009-al-gf-fire,a09839bfa9f4d054e15427f3083910a7cc577c8e,2026-08-23,"[RYA-1009] regenerate the tracker after ENGINE-A stopped pinning a rou"
ryandamienschmitt/rya-1011-gitignored-exposure,7aa0bf8608506ef2a4e681237678d3d1da44f1a4,2026-08-23,"RYA-1011: bring the anchor's per-line inputs inside the guard (+ commi"
ryandamienschmitt/rya-1026-ratify-fe-product-grid,4382ab16bf9dea2b40ea0a3e9282a9af0ffa4e59,2026-08-23,"RYA-1026: retire RYA-929's pre_normalised=False assertion at its one r"
ryandamienschmitt/rya-1026-wire-display-gate,b7d6a8d67f28f0da92f50a5e1f7ee701bc217b4e,2026-08-23,"RYA-1026 follow-up: wire the telluric display gate into the actual ren"
ryandamienschmitt/rya-1027-nearuv-graded,0f0331b2357881b454b1992943fd1baf7560956b,2026-08-23,"RYA-1027: the Fe I near-UV graded product, on telluric-corrected input"
ryandamienschmitt/rya-1030-normalisation-intake,a852da7d932cd61e74518acdf8bd51a357ef742d,2026-08-23,"RYA-1030: pin the invariant, not the count, in RYA-905's check-registr"
ryandamienschmitt/rya-1031-3dnlte-on-graded,3d13e4a16b3f6850270396659c46db6e9b099948,2026-08-24,"RYA-1031: fix swapped args in _resolve_src -- discover_bands(bp_dir, I"
ryandamienschmitt/rya-166-audit-complete-qa-pipeline-test-suite-unit-tests-solar,6bb350376af3fad4901b2c22be86ec46845de368,2026-07-15,"RYA-166: solar calibration gate (Layer 3) + reported-uncertainty budge"
ryandamienschmitt/rya-237-cno-synthesis,28c14e223311481d2523895bd119005db253557b,2026-06-19,"RYA-237: region-aware C/N/O synthesis engine — HARPS-VIS arm (LTE-corr"
ryandamienschmitt/rya-264-wavelength-scale-axis,ba0b92d3f0474aee2e8ac94b76ce107562f425f4,2026-06-30,"feat(rya-264): wavelength unit+scale axis — the 3rd loader-contract at"
ryandamienschmitt/rya-272-uves-loader,0fd75f2eeb1e072bd619274b19578fbee124ccd8,2026-06-28,"RYA-272: UVES loader — BERV application, guards, spectrum registry, O "
ryandamienschmitt/rya-273-build-procyon-ew-measurement-extend-lines_fitpy-beyond-solar,37410353259d11aac76da0a927b0774d1e968135,2026-06-28,"RYA-273: Procyon EW measurement on current main + generalize EW-integr"
ryandamienschmitt/rya-277-architecture-per-spectral-type-acceptance-profiles,45393ea5134eb91ac702fab9267b0c08c92fd86f,2026-06-28,"RYA-277: per-spectral-type acceptance profiles — G anchor relabel (bit"
ryandamienschmitt/rya-281-audit-loggf-quality-of-9-procyon-fe-i-unclassified-outliers,e4fe7a952a6db06135b50b793472e29b6af6d37d,2026-06-28,"RYA-281: GES loggf cross-match of current Procyon Fe outliers — bad-lo"
ryandamienschmitt/rya-298-star-params-single-source,fc18863b048b247703fe1474e8fac49ae080963f,2026-06-18,"RYA-298: STAR_PARAMS single source via config/stars.yaml; retire legac"
ryandamienschmitt/rya-300-vald-extract-alpha-cen,fac543614d15710481af35f0e83b18bb7c38cce0,2026-06-14,"vald(rya-300): intake B optical+nir (HFS-ON) → build α Cen B line list"
ryandamienschmitt/rya-303-data-de-dup-re-split-stis-uv,67588cbd7d012c7f61e7091f756ef353e249b189,2026-06-14,"data(rya-303): de-dup + re-split STIS UV (alpha Cen) by OBJECT"
ryandamienschmitt/rya-309-procyon-fe-prereqs,1488b32c535bb7a18b0631bd825a0aff6d14b6d3,2026-06-14,"fix(rya-309): extend the RYA-305 blend triage to Fe I (finishes the EW"
ryandamienschmitt/rya-313-ci-gated-pr-merge-protocol,c1656d9bed9098e57fb04aedf044338efd07c494,2026-08-05,"[RYA-313] Install the FULL vendored molecular set on Sirius (OH + NH w"
ryandamienschmitt/rya-319-fe-nlte-grid,5d42702af4707aaaaae9a068ab85b79c6f2abe04,2026-06-15,"integrate(rya-319): switch Fe NLTE to MPIA grid-lookup (single source)"
ryandamienschmitt/rya-321-vald-metallicity-gate,3d905828699b6f3bad5b37512fba519de21442ab,2026-06-15,"fix(rya-321): gate on APPLIED composition (abundance block), not struc"
ryandamienschmitt/rya-322-procyon-fe-spread,d412a3fdbe31bedefd220c15fa5c2da48dd93436,2026-06-15,"RYA-322: Procyon Fe spread test {MPIA,Amarsi} x vmic {1.66,1.8,2.0}"
ryandamienschmitt/rya-325-pin-xi,45249ef0de5e12acf20c1a4d7ec6b4c10e84e7a2,2026-06-15,"fix(rya-325): pin ξ for GBS calibrators in STAR_PARAMS; retire vmic_fi"
ryandamienschmitt/rya-330-fix-solar-fe-anchor,5eb73dbbc79fdfab1e0074c0a6ea9090ead8902f,2026-06-15,"fix(rya-330): solar Fe I anchor — tighten saturation cut 150→100 mÅ; f"
ryandamienschmitt/rya-331-integration,04ec1834dc6ef010104b2d0834bf54975ee51bf9,2026-06-15,"Merge rya-330: solar Fe I anchor (cut 150→100) + gate double-add fix ["
ryandamienschmitt/rya-334-range-guard-double-add,5aecfd3e827e7ef8ab5b0a50b32962538af62646,2026-06-15,"fix(rya-334): range-sanity guard for the A_X_nlte relative/absolute do"
ryandamienschmitt/rya-336-scale-aware-fe-gate,9ccf06404aa3bada44794e829c68db14046cce7e,2026-06-15,"feat(rya-336): scale-aware solar Fe gate — scale-robust verdict + per-"
ryandamienschmitt/rya-338-synth-v2-solar-fe-test,445068038188706e494328de86fcd5d4585606cf,2026-06-15,"feat(rya-338): opt-in element focus for synthesis-v2 (enables the deci"
ryandamienschmitt/rya-339-amarsi-clamp-check,bc43992740c8e7930c95ae843ee9e57847d68b13,2026-06-15,"fix(rya-339): Amarsi Fe NLTE sign flip — adapt network output to corre"
ryandamienschmitt/rya-340-assembled-stack,a02dc2adf7001838bea093fd44f31151547255ec,2026-06-16,"fix(rya-342 follow-up): feed flux-space synth the MEASURED line set, n"
ryandamienschmitt/rya-345-species-normalizer,6eb2569096092e356f41e0a2d1800027970dc3c8,2026-06-17,"RYA-345: canonical species/ion encoding normalizer + route matchers"
ryandamienschmitt/rya-348-run-procyon-co-multi-instrument-harps-uves-o-i-777-hst-uv-ir,9bb9544bdc151e5367c13f0481ff54eb1da4ea86,2026-06-28,"RYA-348: Procyon C/O shakedown (HARPS VIS) — synth path runs, NLTE C/O"
ryandamienschmitt/rya-350-reconcile-gf-duplication,5ecc252471defc3bbac3b928ad983081ac1cee42,2026-06-18,"RYA-350: correct store model from RYA-353 loader trace (3 independent "
ryandamienschmitt/rya-352-fe2-ew-quality-cull,74afeb4b4b4721f2ac4b8eab734b68d7de163347,2026-06-18,"RYA-352: re-base solar Fe II EW cull on EW quality (supersedes a88ef0f"
ryandamienschmitt/rya-353-single-source-gf,812d39c03bbf87431ca9472c224908f3c151ce1d,2026-06-18,"RYA-353: reroute synth + EW paths to canonical gf (overwrite-after-rea"
ryandamienschmitt/rya-354-gf-adjudication-batch1-namgal,cf76860019897ae1c859d7f4d8fd2e0d51a26417,2026-06-28,"RYA-354 Batch 1 (Na/Mg/Al): per-line gf adjudication to NIST-graded on"
ryandamienschmitt/rya-354-gf-adjudication-batch3-zrbayeu,495692f0f787839312987dd359410db4971a26bb,2026-06-29,"RYA-354 Batch 3 (Zr/Ba/Y/Eu): per-line gf adjudication — gf not the bl"
ryandamienschmitt/rya-355-data-stewardship-check,7bac438bcb176fe4e80bb8c407c8a2defe8e44b8,2026-06-18,"RYA-355: rework gf invariant to resolve via canonical (RYA-353); flip "
ryandamienschmitt/rya-358-blend-flag-guard,aab6e2bf086de00847a0c8909396d2972e57cfd9,2026-06-18,"RYA-358: stewardship guard for blend_flag — pin the definition (vetted"
ryandamienschmitt/rya-359-build-c-i-o-i-nlte-correction-grids-amarsi-the-cno-nlte,75fa7a8565112dd2747fdd58b9975578e85e1ed3,2026-06-19,"RYA-359: vendor + wire Amarsi 2019 C I / O I NLTE correction grids"
ryandamienschmitt/rya-360-secure-molecular-lists,e48b240a07b1ba8072099011cffdb1001c6c7f1e,2026-07-01,"feat(rya-360): secure the C/N/O molecular line lists — verify, vendor,"
ryandamienschmitt/rya-365-fix-reroute-the-ni-i-630034-gf-through-gf_resolver-for-the-o,1951e6b498b3a1966689e61c0428b4917f0f7faf,2026-06-19,"RYA-365: Ni I 6300.34 gf via gf_resolver + adjudicate to Johansson 200"
ryandamienschmitt/rya-367-fix-solar-o-i-6300-atomic-data-audit-fit-window-cleanup,e92039299b8ba85ed699f64eacdac10e4bf6a2d2,2026-06-19,"RYA-367: solar [O I] 6300 atomic-data audit + fit-window cleanup"
ryandamienschmitt/rya-368-fix-close-the-store-2-linelist_solarcsv-gf-reroute-route,bd881ad4905d445f7ad4a4952e2a2e82fc58eadf,2026-06-19,"RYA-368: close store-#2 (linelist_solar) gf reroute + all-stores CI in"
ryandamienschmitt/rya-369-n-grid-loadtest,0e3c99e24aa44d3db5dcede6d212cfd3330e932c,2026-06-29,"RYA-369: N I NLTE grid load-test PASS — N hard blocker cleared + N wir"
ryandamienschmitt/rya-371-phase-a-multiarm-cno,7bd92f6b7b44f000f2d800984e769251462532f4,2026-06-27,"RYA-371 Phase C: 27-element solar verdict table + differential backbon"
ryandamienschmitt/rya-372-reflected-solar-rv,2f9433706447fda15f1db3d697438d7d2db9e50d,2026-06-20,"RYA-372: add --write + telluric-CCF ephemeris-closure (review finish-o"
ryandamienschmitt/rya-373-build-molecfit-telluric-continuum-cal-rv-condition-on-the,2eadc4df84fb30b8fc961a825aad546c0ce4936f,2026-06-20,"RYA-373 #3-5 resume-point: frame-level RV off a clean bluer order + pe"
ryandamienschmitt/rya-386-add-codex-vald-extraction-skill,ed6e3c1555f45eb1fde8fd179fa8e552bfeb3d08,2026-06-20,"RYA-386: add codex-vald-extraction skill to the repo (single on-disk h"
ryandamienschmitt/rya-387-re-extract-solar-non-optical-vald-wings-at-central-depth,24f626a87941e31b88c97cabd5c6fd7fcffc289e,2026-06-20,"Merge origin/main (RYA-373/381/376) into RYA-387 — supersede 0.05 wing"
ryandamienschmitt/rya-389-vald-threshold-check,b47d2248791b86f1fbcad615a319725ccc756753,2026-06-20,"RYA-389 (item 3): VALD extraction-threshold consistency check in the i"
ryandamienschmitt/rya-401-vendor-getgrid-nlte,21e95c1904f42d1bb1b59418f70ac413573cd634,2026-06-21,"RYA-401 (Beast round-2): probe the 6 GET-GRID NLTE grids — 0 vendorabl"
ryandamienschmitt/rya-405-solar-fe-baseline-reconcile,f3ed2f3a77f22a981f03ab23611d57014a12b5c2,2026-06-21,"RYA-405 Step-0 audit: solved Fe II stack is ALREADY on main → STOP (no"
ryandamienschmitt/rya-406-gate-ionization-synth-arbiter,1b28c72506b75a0e579cf8d8c501882752060b6f,2026-06-21,"RYA-406: unit-test the Fe gate ionization arbiter scoring"
ryandamienschmitt/rya-407-diagnostic-fe-scatter,e5416cac8a78cd2de111d63518c4b374428354a9,2026-06-21,"RYA-407: add Fe I scatter diagnostic verdict doc (c) honest floor"
ryandamienschmitt/rya-408-solar-ew-canonical-source,58a62e2abfed6917198bd482895bbcb5697a8ca2,2026-06-21,"RYA-408: repoint solar Fe gate/abundance to the committed canonical EW"
ryandamienschmitt/rya-410-run-pysme-resource,46f78c988c4293e53781f0ad4a7469a55a176395,2026-06-22,"RYA-410: provenance-completeness sweep — zero gaps before freed-binary"
ryandamienschmitt/rya-411-resolve-camn-stops,10a016cbc168dd072b30a9ea4c7018bd1f38acd8,2026-06-22,"RYA-411: Mn finishing brief — control xi/A(Mn)/atmosphere; the ~2x is "
ryandamienschmitt/rya-412-fix-main-ci-red,e8163fdaba74bcfee83e783974e6e979e2f19164,2026-06-22,"RYA-412: reconcile the 7 RYA-400/401 GET-GRID tests with the post-merg"
ryandamienschmitt/rya-413-fix-ca6166-placeholder,07818c8ecc159957c169a682c41a0f6dd4f797b6,2026-06-22,"RYA-413: fix MPIA Ca I 6166 placeholder-zero + placeholder-zero regist"
ryandamienschmitt/rya-417-fe-leg-placeholder-zero,87464a03e54b5c925890c37749a167fbaa84d258,2026-06-22,"RYA-417: MPIA Bergemann Fe-leg placeholder-zero sweep (31 Fe + Si 6253"
ryandamienschmitt/rya-418-yaml-registry-drift,521a35964b1b574769dc4dee0bf60b3cbb6e1eeb,2026-06-22,"RYA-418: reconcile physics_regime_rya400.yaml NLTE-grid drift (Na/Mg/S"
ryandamienschmitt/rya-429-fix-silent-line-drop-is-a-quality-leak-emit-a-per-line,a53c0a8b898d00b28140ca482339634190877706,2026-07-14,"RYA-429: per-line rejection ledger + no-silent-drop invariant + ioniza"
ryandamienschmitt/rya-433-sr-inasan-primary,f54621a127bd85e05c648f625073acdf3d24a677,2026-06-23,"RYA-433: Sr II primary-grid provenance - INASAN programmatic pull BLOC"
ryandamienschmitt/rya-434-cno-path-verify,18ffc0e485978ff9e5fed2089a517021757f97f3,2026-06-23,"RYA-434: bind Fe/CNO audit exemptions to per-class production-artifact"
ryandamienschmitt/rya-440-ace-co-feasibility,a8e4528e0f302c18f80c48fdb464635e5fb542d1,2026-06-23,"RYA-440: ACE-FTS solar CO feasibility (disk-geometry go/no-go)"
ryandamienschmitt/rya-441-ace-co-mu1-intensity,9000a377992f17831a5d1999de7cbc6d4e7205af,2026-06-24,"RYA-441: ACE-FTS disk-center mu=1 intensity CO fit - the real GO/NO-GO"
ryandamienschmitt/rya-442-co-1d-3d-correction,b7657e3caa465762fb126fb3237172479d5afd13,2026-06-24,"RYA-442: 1D->3D disk-center CO correction reopens ACE-FTS solar CO (44"
ryandamienschmitt/rya-443-ace-co-reopen-derisk,44fad6e103bd3e2cd11c80641a15f3aed46823e5,2026-06-24,"RYA-443: de-risk the ACE-FTS solar-CO REOPEN -> CORROBORATED (authoriz"
ryandamienschmitt/rya-446-fe-scatter-g-profile,511477c72df707946b613e31bcf61bc03e79b383,2026-06-25,"RYA-446: route solar Fe I scatter gate through G-anchor acceptance pro"
ryandamienschmitt/rya-456-wire-curate_nonfe_pools-rya-395398-into-abundances_derive,bb717977616e86900f94c09996199a0fbecf0e79,2026-06-27,"RYA-456: wire curate_nonfe_pools (RYA-395/398) into the default solar "
ryandamienschmitt/rya-458-build-ew-verification-layer-per-line-ew-integrity-qa-charter,e5321e6462f4c6782f137a4ea942d74b1fe1d96d,2026-06-27,"RYA-458: EW-verification layer — per-line EW-integrity QA + charter ca"
ryandamienschmitt/rya-459-acquire-tier1-solar-atlases,fce4c39aeb577a42673c9436f002e0d0c62df715,2026-06-27,"RYA-459: stage Tier-1 solar reference atlases (Kitt Peak + CALSPEC UV)"
ryandamienschmitt/rya-460-wire-reference-atlases,bd37c225638aefd9bb8ad7fe75262da4c94fa7d5,2026-06-27,"RYA-460: wire RYA-459 Kitt Peak atlas into the solar run — close DATA-"
ryandamienschmitt/rya-462-audit-wire-nlte-grid-availability-matrix-wire-present-but,ef22c04e4d15cb9f87a54997b589bf6a86913cb2,2026-06-28,"RYA-462: audit NLTE grid availability + wire the present-but-unwired K"
ryandamienschmitt/rya-463-problem-children-registry,a574fbd70eb9409061e3bef935c587b36030e3ee,2026-06-28,"RYA-463: master problem-children line registry (solar seed pass)"
ryandamienschmitt/rya-464-build-multi-instrument-arm-wiring-for-benchmark-co,9ebbfbfc1b474b6afa0bddba0409dc6501f28ae6,2026-06-28,"RYA-464: per-star multi-instrument arm registry — generalize run_cno/r"
ryandamienschmitt/rya-465-unsaturated-line-recovery-namg,0c72a17edbe96be45c8575af094e8c0cb452d400,2026-06-28,"RYA-465: unsaturated line-selection recovery (Na/Mg) — Na unlocks, Mg "
ryandamienschmitt/rya-466-measure-solar-cu-hfs-synthesis,723dec83f4c7051eaf9d67747b24fe6964ffe1a9,2026-06-28,"RYA-466: measure solar Cu via HFS-resolved synthesis + RYA-402 NLTE; V"
ryandamienschmitt/rya-467-green-main,d2ea0e0761a06c5e6dadcdf9a9620a5dbe97560b,2026-06-28,"RYA-467: green main — fix 1 stale gf-test assertion + the phase_c fixt"
ryandamienschmitt/rya-467b-phase-c-final-verdict,561afbca5295dd362e8420e7f6205affd620074e,2026-06-28,"RYA-467 follow-up: phase_c tests assert the FINAL Kitt-Peak-applied ve"
ryandamienschmitt/rya-468-mn-gf-pull,bb34d31944ac8649322fd999a3f173efd404bb5e,2026-06-29,"RYA-468: Mn gf — 3 confirmed void + adjudicate Den Hartog 6013/6016/60"
ryandamienschmitt/rya-473-measure-solar-mn-hfs-synthesis,eb5592df8362fb44b733e26976a25ca52defde85,2026-06-29,"RYA-473: measure solar Mn via HFS-resolved synthesis on the Den Hartog"
ryandamienschmitt/rya-476-wire-amarsi-mn-nlte-grid,77259c3a13003eb4751d0419470290a515c12d43,2026-06-29,"RYA-476: stage Amarsi Mn NLTE grid -> live triplet-exact delta -> Mn P"
ryandamienschmitt/rya-481-convention-loader-frame-object,b359189e302fdfda71ac7d657a189177d8d9286d,2026-06-30,"feat(rya-481): executable loader convention — declare+verify velocity "
ryandamienschmitt/rya-483-hard-bank-procyon-o,d687d7ca04c82e3681578c8ff2f7b6127c78b1f6,2026-06-29,"RYA-483: hard-bank Procyon O — NOT hard-bankable, provisional with nam"
ryandamienschmitt/rya-485-cno-method-stepback,01871a1b3d0ce4487f01c8565006dbcb7b844678,2026-06-29,"RYA-485: CNO method step-back — verify solar O (no silent-LTE) + re-fr"
ryandamienschmitt/rya-491-finish-solar,c379a5469e941a7c504826ee6255a4ec3d151567,2026-06-29,"RYA-491 finish solar: IR O I 844/926 + C confirm + S line fix + N flag"
ryandamienschmitt/rya-493-procyon-cno-redo,3ade36a9158a6449ec42ed1b8abc31eb823b6657,2026-06-29,"RYA-493 Procyon CNO redo (surgical): re-bank [O/H] + confirm C + addit"
ryandamienschmitt/rya-496-uves-reflected-solar-audit,ebd7bfc812e5ce4465e75d06d0402d0a8e07c33c,2026-06-30,"RYA-496: UVES reflected-solar audit (recon) — Vesta re-verify + Ceres "
ryandamienschmitt/rya-497-nirps-solar-audit,dc921b6569468d6bcf1aa9c10a94a8b01945a6c1,2026-06-30,"RYA-497: Solar NIRPS audit (recon) — RAW frames, REDUCTION-OWED (not a"
ryandamienschmitt/rya-498-nirps-drs,a976f2030572a562b47bddb65a378324be23c0fe,2026-07-03,"RYA-498: order-exclusion route overturns edge framing -> global FP sta"
ryandamienschmitt/rya-501-vac-air-ssot-cleanup,2a1a3e8af08f5a5a3e4ef2defbbcf726028ce146,2026-07-01,"cleanup(rya-501): route the two intake scripts' vac↔air through pipeli"
ryandamienschmitt/rya-503-molecular-converter,8a53bbfed8c743666793066c4ac794e63a512d0c,2026-07-03,"feat(rya-503): molecular ExoMol→Turbospectrum converter (CO-validated)"
ryandamienschmitt/rya-516-infra-codex-state-register-vendor-the-mutable-current-state,2f6e11cbd2b1da1b5f1b0ed5e5b553cdee5099ec,2026-07-03,"[RYA-516] Vendor CODEX_STATE_REGISTER.md — mutable state ledger + main"
ryandamienschmitt/rya-519-critical-wire-curate_nonfe_pools-rya-395-into-the-default,3d0760beb28e3fb85c26f9ee3caaec9bdc9e8146,2026-07-04,"[RYA-519] completeness pass: no target element silently absent from th"
ryandamienschmitt/rya-520-critical-run-raw-ew-channel-emits-synthesis-required,00b1451b1a14156fa5857b40b1af119c1801e611,2026-07-05,"[RYA-520] gate synthesis-required elements out of run()'s authoritativ"
ryandamienschmitt/rya-521-warning-consolidate-run-vs-phase_c_verdict-into-one,1e2202a576c4a83afce11da50c23e527fb4615d9,2026-07-05,"[RYA-521] divergence guard: compare like-with-like (dominant ion, NLTE"
ryandamienschmitt/rya-522-solar-gold-reference-v2-re-freeze-regenerate-from-the,a9dd958656c1f3cfd664e2206e1c8718ff2a2bae,2026-07-05,"[RYA-522] freeze solar gold v2 (verdict-sourced, tiered); v1 SUPERSEDE"
ryandamienschmitt/rya-525-architecture-two-engine-floor-with-quality-based-selection,ce4b0c2968a0ece3700879d13b343d5840c0663c,2026-07-10,"RYA-525: build the two-engine floor — per-line reference-blind selecto"
ryandamienschmitt/rya-526-two-engine-refresh,f6ef48cf18d2a9fcc2066619484303c7ff311cca,2026-07-09,"RYA-526: refresh coverage ledger to two-engine truth (additive)"
ryandamienschmitt/rya-529-build-re-provision-rya-402-nlte-turbospectrum-synthesis-on,dcbc7416713b2b20f488430f533976ecf1c11301,2026-07-06,"RYA-529: re-provision + re-validate RYA-402 b-factor NLTE synthesis on"
ryandamienschmitt/rya-530-audit,aee1406cd1b9a235652f36124a463a700520051e,2026-07-08,"RYA-530: apply capability-sweep register edits (v16→v17)"
ryandamienschmitt/rya-531-buildaudit-resolve-provision-family-a-ts-native-nlte-gerber,e2c4689762ad65f470816668302cd2fc8eac31ee,2026-07-06,"RYA-531: correct RYA-529 register row to two-family/two-engine NLTE ma"
ryandamienschmitt/rya-533-build-ts-native-gerber-nlte-synthesis-deck-engine-b-nlte-for,d786807f9a88911c40e5ac12e8ce53f5780985d1,2026-07-06,"RYA-533: TS-Gerber NLTE deck BUILT + Na gate GREEN (median δ -0.068 vs"
ryandamienschmitt/rya-534-build-roll-out-the-remaining-10-family-a-elements-on-the-ts,62d7329f9d6b77083be79be8c2cc132480032003,2026-07-08,"RYA-534: rollout COMPLETE — Ti finalized as a documented ~2x model-ato"
ryandamienschmitt/rya-535-fix-ti-same-atom-systematic-rca-de-encode-the-v15-model-atom,8c3ed2cf727cef98658b4a59dfdbd33c7a3d02a0,2026-07-08,"RYA-535 Part B: Ti same-atom RCA — cheap defects ruled out, departures"
ryandamienschmitt/rya-540-finalize-gerber-cache,9e4af665491439a00abf374a4ceabb9332ba1877,2026-07-12,"Merge remote-tracking branch 'origin/main' into ryandamienschmitt/rya-"
ryandamienschmitt/rya-540-infra-persistent-md5-pinned-nlte-grid-cache-in-the-canonical,5545ee9463c7d5cdf32fa35c968b60fe04cf65c5,2026-07-08,"RYA-540: persistent md5-pinned NLTE grid cache + SSD→M.2 relocation"
ryandamienschmitt/rya-541-fix-make-run_pipelinepy-an-honest-thin-driver-over-the-real,f287ddfaf54e978c9c85c661e4f05767dd9ba07e,2026-07-09,"RYA-541: make run_pipeline.py an honest thin driver over the real stag"
ryandamienschmitt/rya-543-ni6300-gf-ssot,3e2c9912f87d9ca767c558e8fa1050ebc3ea159e,2026-07-09,"RYA-543: route Ni 6300.34 gf through gf_resolver (kill stale -2.841 du"
ryandamienschmitt/rya-545-science-fix-the-ti-i-gf-scale-rya-521-0502-residual-re-run,a8fc8d003418a708dda72c6c89af4a537a3adf55,2026-07-14,"Merge remote-tracking branch 'origin/main' into ryandamienschmitt/rya-"
ryandamienschmitt/rya-549-fix-fe-anchor-reconcile,65c3ab170dbf78b7a405087af21ce268af7cf031,2026-07-14,"RYA-549: Fe anchor reconcile (code=register=matrix) + vintage confirme"
