path,size_mb,branch,branch_status,protected,dirty_tracked,n_ignored_artifacts,n_orphan_artifacts,orphan_examples,verdict,save_action
/Users/ryanschmitt/codex/rya1040,796,ryandamienschmitt/rya-1040-mean3d-treatments,UNMERGED(9/11 files differ),False,0,0,0,,ARCHIVE,git bundle/tag the branch before removal
/private/tmp/claude-501/-Users-ryanschmitt/6a6e3faa-fce5-45dd-99e4-c9f17b0aec61/scratchpad/mainchk,795,(detached),detached,False,0,0,0,,PRUNE,"merged/landed, no orphan artifacts, clean"
/private/tmp/claude-501/-Users-ryanschmitt/dd7ea626-05dd-405e-aeda-9d8030d7c51b/scratchpad/tracker_merge_test,795,(detached),detached,False,211,0,0,,KEEP,uncommitted tracked changes present
/Users/ryanschmitt/codex/air/mainchk_wt,795,(detached),detached,False,0,0,0,,PRUNE,"merged/landed, no orphan artifacts, clean"
/Users/ryanschmitt/codex/rya992,795,ryandamienschmitt/rya-992-per-arm-frac-rise-cut,merged,False,0,2,2,data/results/band_products/FeI_4200_6910_harps_solar_harps_molecfit_corrected_SYNTH_FROMEW_1D-LTE_lines.csv; data/results/band_products/FeI_4200_6910_kpno_solar_atlas_SYNTH_FROMEW_1D-LTE_lines.csv,ARCHIVE,save_artifact() 2 orphan file(s) first
/private/tmp/rya1006-b2,794,(detached),detached,False,0,0,0,,PRUNE,"merged/landed, no orphan artifacts, clean"
/private/tmp/rya1006-baseline,794,(detached),detached,False,0,0,0,,PRUNE,"merged/landed, no orphan artifacts, clean"
/Users/ryanschmitt/codex/rya1006,794,ryandamienschmitt/rya-1006-local-renorm-stem,merged,False,0,0,0,,PRUNE,"merged/landed, no orphan artifacts, clean"
/Users/ryanschmitt/codex/rya1008,794,ryandamienschmitt/rya-1008-frontier-feasibility-spike-full-3d-nlte-al-none-exists-in,UNMERGED(1/1 files differ),False,0,0,0,,ARCHIVE,git bundle/tag the branch before removal
/Users/ryanschmitt/Documents/Exoplanet Codex/exoplanetcodex-rya1000,794,ryandamienschmitt/rya-1000-continuum-dig,merged,True,0,0,0,,KEEP,inside the artifact store root
/Users/ryanschmitt/Documents/Exoplanet Codex/exoplanetcodex-rya935t,794,ryandamienschmitt/rya-935-telluric-section,UNMERGED(7/7 files differ),True,0,0,0,,ARCHIVE,git bundle/tag the branch before removal
/Users/ryanschmitt/Documents/Exoplanet Codex/exoplanetcodex-rya989,794,ryandamienschmitt/rya-997-h1559-flip-mechanism,merged,True,0,0,0,,KEEP,inside the artifact store root
/Users/ryanschmitt/Projects/rya-951-graded-fe,793,ryandamienschmitt/rya-951-graded-telluric-fe,UNMERGED(1/1 files differ),False,1,0,0,,ARCHIVE,git bundle/tag the branch before removal
/Users/ryanschmitt/Documents/Exoplanet Codex/exoplanetcodex-rya759,743,ryandamienschmitt/rya-759-fe-near-uv-synthesis-validate-the-valdturbospectrum,UNMERGED(128/134 files differ),True,0,0,0,,ARCHIVE,git bundle/tag the branch before removal
/Users/ryanschmitt/Documents/Exoplanet Codex/exoplanetcodex-rya770,743,ryandamienschmitt/rya-770-fix-synthesishandler-adapter-fails-the-optical-control-312,UNMERGED(128/135 files differ),True,0,0,0,,ARCHIVE,git bundle/tag the branch before removal
/Users/ryanschmitt/Projects/rya-851-science-input,737,(detached),detached,False,0,0,0,,PRUNE,"merged/landed, no orphan artifacts, clean"
/Users/ryanschmitt/Documents/Exoplanet Codex/exoplanetcodex-rya800,723,ryandamienschmitt/rya-800-build-fetch-wire-the-gerber-ts-native-cr-nlte-grid-25-gb,UNMERGED(7/7 files differ),True,0,0,0,,ARCHIVE,git bundle/tag the branch before removal
/Users/ryanschmitt/Documents/Exoplanet Codex/exoplanetcodex-rya762,721,rya-762-fe-ir-extension,UNMERGED(1/5 files differ),True,0,0,0,,ARCHIVE,git bundle/tag the branch before removal
/Users/ryanschmitt/Documents/Exoplanet Codex/exoplanetcodex-rya791,721,ryandamienschmitt/rya-791-audit-eps-eri-archive-search-triage-list-level-filter-the,UNMERGED(14/14 files differ),True,0,0,0,,ARCHIVE,git bundle/tag the branch before removal
/Users/ryanschmitt/Documents/Exoplanet Codex/exoplanetcodex-rya793,721,ryandamienschmitt/rya-793-branch-cleanup-audit,UNMERGED(1/1 files differ),True,0,0,0,,ARCHIVE,git bundle/tag the branch before removal
/Users/ryanschmitt/Documents/Exoplanet Codex/exoplanetcodex-rya279,720,ryandamienschmitt/rya-279-gate-scatter-ceiling-pool,UNMERGED(1/2 files differ),True,0,10,8,data/processed/procyon_ew.csv; data/processed/procyon_ew_rejections.csv; data/processed/solar_ew.csv,ARCHIVE,git bundle/tag the branch before removal
/Users/ryanschmitt/Documents/Exoplanet Codex/exoplanetcodex-rya772,718,(detached),detached,True,0,0,0,,KEEP,inside the artifact store root
/Users/ryanschmitt/Documents/Exoplanet Codex/exoplanetcodex-rya758,717,ryandamienschmitt/rya-758-audit-nlte-grid-inventory-beyond-the-28-future-science,UNMERGED(8/8 files differ),True,0,0,0,,ARCHIVE,git bundle/tag the branch before removal
/Users/ryanschmitt/Documents/Exoplanet Codex/exoplanetcodex-rya546,713,ryandamienschmitt/rya-546-science-model-atom-vintage-audit,merged,True,0,0,0,,KEEP,inside the artifact store root
/Users/ryanschmitt/Documents/Exoplanet Codex/exoplanetcodex-rya558,713,ryandamienschmitt/rya-558-fix-enforce-the-rya-240-cr-ii-exclusion-in-the-two-engine,UNMERGED(6/9 files differ),True,3,0,0,,ARCHIVE,git bundle/tag the branch before removal
/Users/ryanschmitt/Documents/Exoplanet Codex/exoplanetcodex-rya420,631,ryandamienschmitt/rya-420-target-data-stager,UNMERGED(1/1 files differ),True,0,0,0,,ARCHIVE,git bundle/tag the branch before removal
/Users/ryanschmitt/Documents/Exoplanet Codex/exoplanetcodex-rya341,510,ryandamienschmitt/rya-341-reconcile-fe2,UNMERGED(7/7 files differ),True,0,8,6,data/processed/fe1_triage_quarantine.csv; data/processed/fe2_triage_quarantine.csv; data/processed/solar_abundances.csv,ARCHIVE,git bundle/tag the branch before removal
