kind,subject,model_type,state,can_run,engine,grid_or_path,disk_decks,source_url,citation,md5,provenance_caveat,error,fix,owned_by_ticket,anomalies,source_csv_note,notes
element,Al,1D_NLTE,HAVE,yes,Engine-A: 1D-NLTE | Engine-B: <3D>-NLTE deck on disk (UNWIRED),Al_Amarsi2020_PySME.csv,nlte_Al_scatt_pysme.grd; NLTEgrid_Al_MARCS_Jul-25-2023.bin,[amarsi_galah] https://zenodo.org/records/3982506/files/nlte_Al_scatt_pysme.tar.gz?download=1 | [gerber_ts] MPG Keeper (Seafile) https://keeper.mpdl.mpg.de/d/6eaecbf95b88448f98a4/,"Amarsi et al. 2020, A&A 642, A62 (GALAH DR3 departure grids) | Gerber, Bergemann et al. 2023, A&A 669, A43 (arXiv 2206.00967)",38fbe23f4d3fe90da3aacf1021bb2bb9,"NO DOI, mutable Seafile -> md5-pinned (RYA-540).",,,,"ANOMALY (RYA-1005): the Gerber Al deck is FULLY STAGED (74 GB, md5-pinned) and Engine-B-NLTE still refuses Al -- `gerber_nlte` registers only Fe. The blocker is a REGISTRY LINE, not missing data. Also RYA-773: the Amarsi-2020 Al departure grid does NOT cover the clean 7835/36 + 8772/73 doublet -- the best lines are uncovered.",ion 1; applied in default run PySME departure grid — input to pipeline.pysme_nlte ONLY; the production value is the vendored CSV derived from it,
element,Al,MEAN3D_NLTE,NEEDS_WIRING,no,none,,NLTEgrid_Al_STAGGERmean3D_Aug-05-2023.bin,[gerber_ts] MPG Keeper (Seafile) https://keeper.mpdl.mpg.de/d/6eaecbf95b88448f98a4/,"Gerber, Bergemann et al. 2023, A&A 669, A43 (arXiv 2206.00967)",,"NO DOI, mutable Seafile -> md5-pinned (RYA-540).","1 <3D> STAGGERmean3D deck(s) are ON SIRIUS and paid for, but NO code path consumes a <3D> departure deck at all. This is not missing data -- it is unwired data.","Add a <3D> consumer: register the deck in the gerber_nlte registry and give Engine-B a <3D> route (today it only reads MARCS 1D decks). Same shape as the Al blocker in RYA-1005 -- a registry line, not a fetch.","RYA-821 (Al <3D>-NLTE Nordlander & Lind 2017 -- mean-3D, wire honestly) / RYA-801","Nordlander & Lind 2017 is <3D>, NOT full 3D -- and its released GRID is <3D>/1D while its SOLAR value (6.43) is full 3D NLTE. Conflating the two is the RYA-1008 premise error.",,
element,Al,FULL_3D_NLTE,NONE,no,none,,,,,,,,,,,<3D> non-LTE is NOT 3D non-LTE: it removes the inhomogeneity term while keeping the mean stratification. RYA-716/773 measured Al 1D-LTE 6.3238.,"No 3D-NLTE correction or engine we can run for this element. (We cannot COMPUTE full 3D from scratch for anything -- RYA-1008: no public full-3D NLTE RT code -- so every 3D capability here is a published grid/model we apply.) RYA-817 literature: solar=FULL_3D_NLTE, offsolar=GRID_MEAN3D."
element,Si,1D_LTE,HAVE,yes,Engine-B (synthesis),,,,,,,,,,,,1D-LTE synthesis is the universal baseline route (no grid).
element,Si,1D_NLTE,HAVE,yes,Engine-A: 1D-NLTE | Engine-B: 1D-NLTE (TS-native),Si_Amarsi2020_PySME.csv,nlte_Si_scatt_pysme.grd; NLTEgrid4TS_Si_MARCS_Feb-13-2022.bin,[amarsi_galah] https://zenodo.org/records/3982506/files/nlte_Si_scatt_pysme.tar.gz?download=1 | [gerber_ts] MPG Keeper (Seafile) https://keeper.mpdl.mpg.de/d/6eaecbf95b88448f98a4/,"Amarsi et al. 2020, A&A 642, A62 (GALAH DR3 departure grids) | Gerber, Bergemann et al. 2023, A&A 669, A43 (arXiv 2206.00967)",1489ce3bc4cafa68ee7fa8ec21f08c58,"NO DOI, mutable Seafile -> md5-pinned.",,,,,ion 1; applied in default run PySME departure grid — input to pipeline.pysme_nlte ONLY; the production value is the vendored CSV derived from it,
element,Si,MEAN3D_NLTE,HAVE,yes,<3D> increment,data/threed_grids/solar3d_metals_rya399.csv,,"published tables, transcribed (RYA-399)","Amarsi & Asplund 2017 (MNRAS 464, 264) for Si; Scott et al. 2015 Paper II (A&A 573, A26) for Ti/Cr",,SOLAR increment only -- no off-solar parameter axis.,,,,,3D-LTE/NLTE solar-metals increment (RYA-399),"CAN RUN via THREED_CORRECTION_ELEMENTS: Amarsi & Asplund 2017 (MNRAS 464, 264) solar 3D increment (RYA-399) (data/threed_grids/solar3d_metals_rya399.csv)."
element,Si,FULL_3D_NLTE,NONE,no,<3D> increment,,,,,,,,,,,Solar 3D and NLTE terms are both hundredths of a dex (RYA-399: 3D is NOT the lever).,"No 3D-NLTE correction or engine we can run for this element. (We cannot COMPUTE full 3D from scratch for anything -- RYA-1008: no public full-3D NLTE RT code -- so every 3D capability here is a published grid/model we apply.) RYA-817 literature: solar=FULL_3D_NLTE, offsolar=SOLAR_ONLY."
element,P,1D_LTE,HAVE,yes,Engine-B (synthesis),,,,,,,,,,,,1D-LTE synthesis is the universal baseline route (no grid).
element,P,1D_NLTE,NONE,no,Engine-A: LTE only | Engine-B: LTE only,,,,,,,,,"RYA-717 (no NLTE grid; DATA_GAP, FUV needs HST/STIS)",,per-region source acquisition (RYA-119/460); LTE-synth covers,
element,P,MEAN3D_NLTE,NONE,no,none,,,,,,,,,,,,"RYA-817 literature: solar=3D_LTE_ONLY, offsolar=NONE."
element,P,FULL_3D_NLTE,NONE,no,none,,,,,,,,,,,"No NLTE grid of any dimensionality; blocker is line access (FUV needs HST/STIS), not NLTE.","No 3D-NLTE correction or engine we can run for this element. (We cannot COMPUTE full 3D from scratch for anything -- RYA-1008: no public full-3D NLTE RT code -- so every 3D capability here is a published grid/model we apply.) RYA-817 literature: solar=3D_LTE_ONLY, offsolar=NONE."
element,S,1D_LTE,HAVE,yes,Engine-B (synthesis),,,,,,,,,,,,1D-LTE synthesis is the universal baseline route (no grid).
element,S,1D_NLTE,HAVE,yes,Engine-A: 1D-NLTE | Engine-B: LTE only,S_Amarsi2025_PySME.csv,,,,,,,,,,ion 1; applied in default run PySME departure grid — input to pipeline.pysme_nlte ONLY; the production value is the vendored CSV derived from it,Applied from the vendored CSV in data/nlte_grids/; the departure grid itself lives on Sirius only.
element,S,MEAN3D_NLTE,REQUEST_ONLY,no,none,,,,,,,,,,,,"RYA-817 literature: solar=MEAN3D_NLTE, offsolar=NONE. Published, but no <3D> deck on disk -> paper-table / request only."
element,S,FULL_3D_NLTE,NONE,no,none,,,,,,,,,,,RYA-557 wired S at 7.486 from a 1D-NLTE route.,"No 3D-NLTE correction or engine we can run for this element. (We cannot COMPUTE full 3D from scratch for anything -- RYA-1008: no public full-3D NLTE RT code -- so every 3D capability here is a published grid/model we apply.) RYA-817 literature: solar=MEAN3D_NLTE, offsolar=NONE."
element,K,1D_LTE,HAVE,yes,Engine-B (synthesis),,,,,,,,,,,,1D-LTE synthesis is the universal baseline route (no grid).
element,K,1D_NLTE,HAVE,yes,Engine-A: 1D-NLTE | Engine-B: LTE only,K_Amarsi2020_PySME.csv,nlte_K_scatt_pysme.grd,[amarsi_galah] https://zenodo.org/records/3982506/files/nlte_K_scatt_pysme.tar.gz?download=1,"Amarsi et al. 2020, A&A 642, A62 (GALAH DR3 departure grids)",ce3c9ce7340f17db3d349ecd4904a3f0,,,,,,ion 1; applied in default run PySME departure grid — input to pipeline.pysme_nlte ONLY; the production value is the vendored CSV derived from it,
element,K,MEAN3D_NLTE,REQUEST_ONLY,no,none,,,,,,,,,,,,"RYA-817 literature: solar=FULL_3D_NLTE, offsolar=SOLAR_ONLY. Published, but no <3D> deck on disk -> paper-table / request only."
element,K,FULL_3D_NLTE,NONE,no,none,,,,,,,,,,,Solar 3D-NLTE minus 3D-LTE is about -0.05 dex on the retained weak K I lines.,"No 3D-NLTE correction or engine we can run for this element. (We cannot COMPUTE full 3D from scratch for anything -- RYA-1008: no public full-3D NLTE RT code -- so every 3D capability here is a published grid/model we apply.) RYA-817 literature: solar=FULL_3D_NLTE, offsolar=SOLAR_ONLY."
element,Ca,1D_LTE,HAVE,yes,Engine-B (synthesis),,,,,,,,,,,,1D-LTE synthesis is the universal baseline route (no grid).
element,Ca,1D_NLTE,HAVE,yes,Engine-A: 1D-NLTE | Engine-B: 1D-NLTE (TS-native),Ca_Mashonkina2017.csv,nlte_Ca_scatt_pysme.grd; NLTEgrid4TS_Ca_MARCS_Jun-02-2021.bin,[amarsi_galah] https://zenodo.org/records/3982506/files/nlte_Ca_scatt_pysme.tar.gz?download=1 | [gerber_ts] MPG Keeper (Seafile) https://keeper.mpdl.mpg.de/d/6eaecbf95b88448f98a4/,"Amarsi et al. 2020, A&A 642, A62 (GALAH DR3 departure grids) | Gerber, Bergemann et al. 2023, A&A 669, A43 (arXiv 2206.00967)",90a886a4bc6fb4f2b2e037f0188d41c6,"NO DOI, mutable Seafile -> md5-pinned.",,,,RYA-413: the MPIA Ca I 6166 NLTE node was a PLACEHOLDER ZERO across all 72 nodes -- a registered-grid data defect. Ca NLTE primary (Amarsi vs defect-fixed MPIA) is still unadjudicated (RYA-414).,ion 1; applied in default run PySME departure grid — input to pipeline.pysme_nlte ONLY; the production value is the vendored CSV derived from it,
element,Ca,MEAN3D_NLTE,REQUEST_ONLY,no,none,,,,,,,,,,,,"RYA-817 literature: solar=FULL_3D_NLTE, offsolar=GRID_PUBLIC_ION_II. Published, but no <3D> deck on disk -> paper-table / request only."
element,Ca,FULL_3D_NLTE,NONE,no,none,,,,,,,,,,,"The public off-solar 3D-NLTE product is Ca II; our production leg is Ca I on a 1D-NLTE grid, so the two do not substitute for each other.","No 3D-NLTE correction or engine we can run for this element. (We cannot COMPUTE full 3D from scratch for anything -- RYA-1008: no public full-3D NLTE RT code -- so every 3D capability here is a published grid/model we apply.) RYA-817 literature: solar=FULL_3D_NLTE, offsolar=GRID_PUBLIC_ION_II."
element,Sc,1D_LTE,HAVE,yes,Engine-B (synthesis),,,,,,,,,,,,1D-LTE synthesis is the universal baseline route (no grid).
element,Sc,1D_NLTE,NONE,no,Engine-A: LTE only | Engine-B: LTE only,,,,,,,,,RYA-732 (no NLTE grid; HFS single blue line 4246),,HFS-resolved synthesis + cleaner line (RYA-460); LTE-synth covers,
element,Sc,MEAN3D_NLTE,REQUEST_ONLY,no,none,,,,,,,,,,,,"RYA-817 literature: solar=MEAN3D_NLTE, offsolar=NONE. Published, but no <3D> deck on disk -> paper-table / request only."
element,Sc,FULL_3D_NLTE,NONE,no,none,,,,,,,,,,,Asplund+2021 explicitly postpone a 3D non-LTE Sc study. Sc I departures are large; the mean is driven by Sc II.,"No 3D-NLTE correction or engine we can run for this element. (We cannot COMPUTE full 3D from scratch for anything -- RYA-1008: no public full-3D NLTE RT code -- so every 3D capability here is a published grid/model we apply.) RYA-817 literature: solar=MEAN3D_NLTE, offsolar=NONE."
element,Ti,1D_LTE,HAVE,yes,Engine-B (synthesis),,,,,,,,,,,,1D-LTE synthesis is the universal baseline route (no grid).
element,Ti,1D_NLTE,HAVE,yes,Engine-A: 1D-NLTE | Engine-B: 1D-NLTE (TS-native),Ti_Mallinson2024_PySME.csv,nlte_Ti_pysme.grd; NLTEgrid4TS_TI_MARCS_Feb-21-2022.bin,[gerber_ts] MPG Keeper (Seafile) https://keeper.mpdl.mpg.de/d/6eaecbf95b88448f98a4/,"Amarsi et al. 2020, A&A 642, A62 (GALAH DR3 departure grids) | Gerber, Bergemann et al. 2023, A&A 669, A43 (arXiv 2206.00967)",,"NO DOI, mutable Seafile -> md5-pinned. Largest grid in the set (~26 GB zip / ~55 GB bin; atom.ti503b, 503 levels); Keeper throttled it heavily.",,,,"RYA-597 DRIFT (FIXED by RYA-1015): the availability CSV cited Ti_Bergemann2011_MPIA.csv while the code has run Ti_Mallinson2024_PySME.csv since RYA-545. Bergemann-2011 used scaled-Drawin H collisions and was INFLATED ~2x (+0.108 vs Mallinson's +0.052, RYA-546). The old file is retained as an immutable v1 reference, flagged superseded -- not deleted.","ion 1; applied in default run. RYA-597 DRIFT FIXED (RYA-1015): this row cited Ti_Bergemann2011_MPIA.csv while config.constants has applied Ti_Mallinson2024_PySME.csv since RYA-545. Mallinson-2024 (A&A 687 A5) uses ab-initio Grumer-Barklem-2020 H collisions; solar median +0.0506 reproduces the published +0.052. SUPERSEDES Bergemann-2011 scaled-Drawin, which was inflated ~2x (~+0.108, RYA-546). Ti_Bergemann2011_MPIA.csv is retained as an immutable v1 reference, flagged superseded -- not deleted.",
element,Ti,MEAN3D_NLTE,HAVE,yes,<3D> increment,data/threed_grids/solar3d_metals_rya399.csv,,"published tables, transcribed (RYA-399)","Amarsi & Asplund 2017 (MNRAS 464, 264) for Si; Scott et al. 2015 Paper II (A&A 573, A26) for Ti/Cr",,SOLAR increment only -- no off-solar parameter axis.,,,,"Engine-B still runs the SCALED-DRAWIN atom.ti503b; swapping it to ab-initio is owed (RYA-548). Largest grid in the Gerber set (~26 GB zip / ~55 GB bin, 503 levels); Keeper throttled the fetch heavily.",3D-LTE/NLTE solar-metals increment (RYA-399),"CAN RUN via THREED_CORRECTION_ELEMENTS: Scott et al. 2015 Paper II (A&A 573, A26) solar 3D Ti (RYA-399) (data/threed_grids/solar3d_metals_rya399.csv)."
element,Ti,FULL_3D_NLTE,NONE,no,<3D> increment,,,,,,,,,,,"Asplund+2021 state outright that the adopted 1D non-LTE corrections are probably NOT appropriate in 3D, and that consistent 3D non-LTE would RAISE Ti I. Directly relevant to our Ti I/Ti II discordance.","No 3D-NLTE correction or engine we can run for this element. (We cannot COMPUTE full 3D from scratch for anything -- RYA-1008: no public full-3D NLTE RT code -- so every 3D capability here is a published grid/model we apply.) RYA-817 literature: solar=MEAN3D_NLTE, offsolar=NONE."
element,V,1D_LTE,HAVE,yes,Engine-B (synthesis),,,,,,,,,,,,1D-LTE synthesis is the universal baseline route (no grid).
element,V,1D_NLTE,NONE,no,Engine-A: LTE only | Engine-B: LTE only,,,,,,,,,"RYA-470 / RYA-363 (NLTE_VOID: no Amarsi/GALAH grid and no usable neutral V I model atom -- the only genuine void, RYA-404)",THE ONLY GENUINE VOID: no Amarsi/GALAH grid AND no usable neutral V I model atom (verified absent from Zenodo 3982506). Interim route is the V II ionization anchor (RYA-470) -- measure around the unsolved atom.,BUILD/bridge (RYA-363 now mandatory) OR interim V II ionization-anchor route (RYA-470); the only genuine void (RYA-404),
element,V,MEAN3D_NLTE,NONE,no,none,,,,,,,,,,,,"RYA-817 literature: solar=3D_LTE_ONLY, offsolar=NONE."
element,V,FULL_3D_NLTE,NONE,no,none,,,,,,,,,,,The genuine NLTE void (RYA-404): no usable neutral V I model atom at any dimensionality.,"No 3D-NLTE correction or engine we can run for this element. (We cannot COMPUTE full 3D from scratch for anything -- RYA-1008: no public full-3D NLTE RT code -- so every 3D capability here is a published grid/model we apply.) RYA-817 literature: solar=3D_LTE_ONLY, offsolar=NONE."
element,Cr,1D_LTE,HAVE,yes,Engine-B (synthesis),,,,,,,,,,,,1D-LTE synthesis is the universal baseline route (no grid).
